file_path,file_type,category,reason,imports_or_called_by,git_tracked,last_modified,safe_to_delete_now
data/analysis/actuals_source_audit.csv,csv,unknown_review_needed,analysis CSV not directly classified; review usage before archiving,,yes,2026-05-20T13:28:30.784940004,no
data/analysis/backtests/override_min_line_60.csv,csv,keep_reference,backtest output artifact; useful for comparison/history,,yes,2026-05-26T14:01:03.694719553,no
data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_edge_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:53:43.609498978,no
data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_ev_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:53:43.613015413,no
data/analysis/backtests/parity_general_backtest/reception_yds_backtest_by_side.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:53:43.614019394,no
data/analysis/backtests/parity_general_backtest/reception_yds_backtest_rows.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:53:43.604451895,no
data/analysis/backtests/parity_general_backtest/reception_yds_backtest_summary.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:53:43.607481718,no
data/analysis/backtests/parity_general_pass_backtest/pass_yds_sim_results.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:50:37.528218745,no
data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_edge_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:09:38.640185595,no
data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_ev_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:09:38.642720461,no
data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_by_side.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:09:38.646835566,no
data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_rows.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:09:38.634541750,no
data/analysis/backtests/parity_general_rush_backtest/rush_yds_backtest_summary.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:09:38.636651278,no
data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_edge_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:10:46.146821737,no
data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_ev_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:10:46.148144245,no
data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_by_side.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:10:46.151235104,no
data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_rows.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:10:46.142058849,no
data/analysis/backtests/parity_receiving_after_rush_backtest/reception_yds_backtest_summary.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:10:46.145372152,no
data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_edge_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:52:58.269547939,no
data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_ev_bucket.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:52:58.272131681,no
data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_by_side.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:52:58.273600578,no
data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_rows.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:52:58.257394314,no
data/analysis/backtests/parity_reference_backtest/reception_yds_backtest_summary.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T13:52:58.262014389,no
data/analysis/backtests/parity_reference_pass_backtest/pass_yds_sim_results.csv,csv,keep_reference,reference/baseline/parity/archive artifact,,yes,2026-05-26T14:50:37.531282901,no
